task_type_id,urgency,payload_size,priority,estimated_time
3,2,1857,1,2.334460835583057
4,6,4552,6,3.46431372413158
2,6,2170,7,1.490671099974542
4,1,2949,3,2.7151209489059043
4,9,3351,9,2.390914425436108
1,6,3830,7,2.7743909227914014
2,3,2589,3,2.5687291746742615
2,4,1731,4,1.8447029626568359
2,4,2916,2,2.5753179574945797
4,3,1115,3,1.7263645529215843
3,3,1448,3,2.1575564123319615
2,3,4711,4,3.606384168660243
4,4,3187,1,2.7610205324150403
1,7,2939,7,2.1871246067755066
3,4,435,2,1.2199787551855015
1,9,4692,7,2.859488362436076
3,1,995,1,1.9763904284756593
4,8,3646,8,2.4388031038359475
0,7,951,6,1.3334549713792827
3,2,1787,3,2.608580159729088
1,8,2031,6,1.8897249406863386
4,1,3846,4,3.257795293566432
3,9,2527,8,2.103742784432789
0,9,1668,6,1.3523849253956899
0,2,4100,3,2.942375092964429
2,7,2838,8,2.0173827378165194
2,3,3598,2,2.624841615794829
1,7,4013,6,2.736197303191738
3,9,1166,6,1.1866836758379105
3,4,4480,4,3.675287462455057
2,1,2544,3,2.737385474752833
3,2,4207,2,3.3596798942382273
3,1,3473,4,3.3023811162366976
0,5,4069,2,2.592272938198423
2,5,2646,1,2.370122911621713
4,7,853,6,1.3806730387773936
2,9,2182,9,1.3952827508440317
4,9,2874,8,2.2657508086413856
0,3,2996,4,2.7656992814988826
1,3,4285,3,3.25944241721984
3,3,875,3,1.764056373221257
0,4,1725,3,2.4166385715608794
3,8,3169,8,2.3208732510116996
1,6,517,6,1.2081441172600673
1,8,214,7,0.7151278200919511
0,1,716,3,1.5880311261070417
1,8,4074,6,2.903067163308849
4,4,3367,4,2.6122832348182268
1,1,925,1,1.8768132474438786
3,8,1616,6,1.4124685106469768
3,4,3246,2,2.818795965149279
3,6,512,7,1.2227324210573898
3,8,828,7,1.3215079888515797
4,4,3448,3,2.721996720229051
2,3,2908,3,2.600025012941326
0,9,775,6,0.7917472568435384
3,3,3565,1,2.8936413479847776
1,9,2604,6,1.9774600986089705
3,2,3067,1,2.98489772332907
1,2,2886,4,2.558566935164475
1,2,1222,2,2.084921184021132
3,6,4179,6,3.26062757176099
4,3,1671,1,2.1181869806447406
1,9,2243,9,2.0968591625116133
1,4,1787,3,1.8387421601792855
3,1,4232,2,3.2670690593377167
1,4,3951,2,2.7197559502191444
1,1,3540,2,3.4692088622978368
3,5,3866,4,3.063873131270811
3,4,2426,1,2.301883065817909
0,8,3014,9,2.262993725263964
4,8,4052,8,2.500902190540325
4,7,695,9,1.6366503959233651
1,3,828,1,1.6398442363950454
4,1,1465,4,2.1543789589209785
1,1,4592,2,3.841153324779738
0,3,798,3,1.6952018463473428
3,6,495,7,1.1922768048558263
3,7,4271,7,2.777405108910938
3,6,4460,8,3.224293671427199
4,6,2602,8,2.577404899295007
0,6,1919,7,2.1285840092309956
4,3,817,3,1.9271373253278794
4,6,2882,6,2.2387568647137632
0,8,3677,7,2.340579035948284
0,2,243,3,1.3963426159800703
0,5,3240,4,2.631144982457739
0,1,4591,4,3.9143383036941897
3,1,3038,1,2.580507074057036
2,5,3736,4,3.173910063892123
2,3,3322,3,2.8293984202842024
0,4,1267,2,1.648123786010516
2,3,2716,1,2.3555791249479667
2,1,1162,1,1.650028665626846
0,1,2256,2,2.692634116792383
2,5,3082,4,2.555663593437681
4,6,3394,8,2.339007820051789
1,3,4829,4,3.355484245587277
1,9,1256,6,1.1608430601419746
0,5,832,3,1.7498043050578787
3,8,4430,7,2.8630817297272793
0,1,4946,3,3.5723714093763785
3,5,1053,1,1.4773513871828112
1,3,2639,2,2.4649552860504658
0,1,3424,1,2.5726226714116853
4,4,3401,1,2.7896410266964375
2,5,1642,1,1.7748130939582643
3,7,1291,7,1.5847412729626837
2,1,3093,2,3.316291218989069
2,3,2781,1,2.8158130059095514
0,2,1317,2,1.904722261889034
2,9,1640,7,1.198694818251666
4,6,3336,7,3.0826719606499724
2,3,2486,4,2.4548436868028976
0,8,3819,8,2.6122858583825894
4,8,1488,8,1.4391749825779994
1,2,1956,3,2.317616952153571
2,6,1465,7,1.6036279176152113
0,7,599,9,0.9847675986239527
1,2,1780,2,2.080628211751922
1,2,610,3,1.5984493459568003
3,1,4412,4,3.497315045773247
4,8,1424,9,1.2694308434645671
2,1,1255,1,2.048786045538379
0,9,1927,9,1.512504556515829
3,6,3241,7,2.8212985977165372
4,7,3586,8,2.0628060383213978
3,7,1910,7,1.9733013703844926
4,3,3023,4,2.960717038499526
4,2,2314,1,2.04232195351837
2,9,4286,6,2.67446248118393
4,8,813,6,1.0322118268008418
3,7,3702,9,2.3694976610564353
4,9,4234,7,2.561436662481825
2,4,3622,2,2.6888848309068343
2,4,4368,4,3.6344540886847247
3,1,4848,4,4.0111356786294925
1,8,4949,6,3.428811018998832
1,3,1343,4,2.015834412808647
4,7,3809,9,2.4786896457565546
0,2,1181,2,1.7855959467440454
4,2,555,2,1.6753749122455837
3,7,994,7,1.0525744382216111
3,6,1484,7,1.7845996860344775
3,3,2058,4,2.180934920368373
3,9,3172,7,2.111035838490081
3,6,2096,6,2.0901919936406985
2,6,4385,7,3.1813526622972077
1,1,604,1,1.629806766836184
3,4,1314,2,1.9888659606728498
0,6,1631,9,1.4992873344800206
0,6,3540,8,2.793187121388853
0,5,923,4,1.5801202515936768
0,1,1028,2,1.852090712137202
2,8,233,6,0.8817266044484235
0,5,2205,1,1.8522772847229394
3,5,3727,4,3.0483054038413804
4,7,4880,9,3.2030195727114026
0,4,1952,2,1.9714553958961922
2,6,4275,8,3.247301845167378
2,4,3033,2,2.475631261891448
0,3,3384,4,2.6103077407272886
4,7,4398,9,2.6876741652952187
0,8,2911,9,2.276701990269128
2,4,1350,1,1.5189141295007436
1,2,3612,4,3.456958836396873
3,3,1356,1,1.4616141184232556
2,1,3476,4,3.4772912736580075
0,8,3586,8,2.535203493440524
3,3,3684,1,3.022657377625922
0,7,1496,8,1.4390161826382102
0,5,3737,2,2.948327222870414
1,5,3430,4,2.70747305951503
3,7,2803,9,2.422160376403305
3,9,570,7,0.9078455297324078
1,5,1453,2,1.7565603522923756
2,1,2883,3,2.768777557557229
0,1,2931,3,2.8541108752557864
4,2,457,4,1.590060353778412
0,6,3119,6,2.1174663214686746
0,9,767,6,0.7138629155788574
2,8,4568,7,3.132652818804543
0,5,1245,1,1.6566730876255884
1,1,4285,2,3.505703332729464
1,7,3819,6,2.713186786613079
3,5,2845,4,2.4920163410723344
4,6,639,6,1.1115480639381277
0,7,2879,7,2.0838390549195376
0,3,4236,3,3.3571690510195364
2,3,4935,2,3.4718254444769934
1,5,3875,4,3.019150551142894
4,6,2608,9,1.863483279152432
3,9,2879,7,2.2453311274651284
1,5,1024,4,1.6065194964826086
3,1,3056,2,2.979205946862775
2,4,1681,4,2.137038196789103
2,5,3424,1,3.045094888892515
0,5,4585,3,3.495374013003626
4,7,355,6,0.609325153733671
3,4,4904,1,3.29608460665286
